gene_name,bucket,shortlist_rank,direction_verdict,direction_basis,is_known_drug,supported,lof_tolerant,tractable,ot_genetic_max,ot_genetic_n_diseases,loeuf,prec,recessive_intolerant,il2_hit,efficacy,tolerance_loss,window_rank,n_module_down,is_iei,max_nonimmune_ntpm,viability_tier
DPH1,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,True,False,0.0,,1.323,0.050731,False,False,0.569987420242809,0.4850438228467781,2647,3,False,54.8,depleting-at-rest
PAICS,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,True,False,0.0,,0.773,0.58968,False,False,0.2744110925382758,0.2124229267703363,2819,3,False,102.5,non-depleting
AMBRA1,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,False,0.0,,0.491,0.065861,False,False,0.4754873317812156,0.4179560559065767,2941,3,False,13.1,non-depleting
MTA2,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,False,0.0,,0.349,3.1778e-08,False,False,0.1363544520681018,0.0887149521350137,2942,3,False,111.2,depleting-at-rest
SLC16A1,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,True,0.0324980929474421,0.0,0.591,0.26988,False,False,0.6769896906099881,0.6150516344682784,2964,4,False,63.8,non-depleting
SH3GL1,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,True,True,0.0,,0.619,0.88732,False,False,0.4178180645872339,0.3694643681535567,3043,3,False,172.7,depleting-at-rest
PCBP2,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,True,0.0,,0.14,2.9355e-07,False,False,0.1308939184096969,0.090931280889466,3049,3,False,616.6,depleting-at-rest
ELOB,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,True,False,0.0,,0.788,0.36214,False,False,0.0311943864841367,-0.4037571104392941,3121,4,False,556.1,non-depleting
SMG9,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,True,False,0.0,,1.051,0.82957,False,False,0.3779784005827378,0.337601004771372,3132,4,False,31.8,non-depleting
LEO1,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,False,0.0,,0.488,0.010726,False,False,0.0235349383152367,-0.2051281865605622,3203,3,False,20.8,non-depleting
ATF4,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,True,True,0.0,,0.718,0.61216,False,False,0.1467400500981407,0.1218360516686428,3231,3,False,826.1,depleting-at-rest
NXT1,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,True,False,0.0,,0.74,0.29401,False,False,0.4267166709787468,0.4033980377309962,3349,3,False,26.8,depleting-at-rest
NFRKB,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,False,0.0,,0.544,0.99847,True,False,0.6043318172798082,0.5813906166055814,3405,7,False,20.3,non-depleting
STIP1,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,True,0.0621549165637489,0.0,0.306,3.8713e-09,False,False,0.2276306832352056,0.2159766443700065,3412,4,False,136.7,non-depleting
MIA2,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,True,0.0,,0.874,0.99624,True,False,0.3919710404289709,0.3764658708733425,3420,7,False,126.3,non-depleting
ARIH1,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,True,0.0,,0.303,1.6659e-06,False,False,0.1813281552490979,0.1746514806777188,3453,3,False,44.9,non-depleting
SHLD1,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,True,False,0.0,,1.083,0.64854,False,False,0.2632235894084173,0.262867132604997,3556,3,False,9.3,non-depleting
PARP2,GATE_ONLY,,CONCORDANT,approved LoF-mimicking drug (OT actionType),False,False,True,True,0.0,,1.038,0.89743,False,False,0.5763523101397117,0.5871007839534831,3791,3,False,46.4,depleting-at-rest
ERCC4,GATE_ONLY,,CONCORDANT,LoF causes immunodeficiency (IUIS); positive-regulator direction,False,False,False,True,0.0,,0.985,0.94914,True,False,0.2655876496224381,0.2858135055404193,3798,4,True,17.1,depleting-at-rest
SIN3B,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,True,0.0,,0.246,6.7242e-15,False,False,0.1836274778306816,0.2137401081900302,3892,4,False,56.8,non-depleting
MED23,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,False,0.0,,0.769,0.99999,True,True,0.044882614766148,0.0817121885919524,3926,4,False,17.2,non-depleting
ATAD5,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,False,0.0,,0.418,1.7133e-06,False,False,0.1098062307177434,0.1468116100726491,3950,5,False,2.3,non-depleting
PARS2,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,False,0.0,,0.978,0.95726,True,False,0.1581108632983588,0.2015254810570423,4046,4,False,5.1,non-depleting
CSDE1,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,True,0.0,,0.295,2.1889e-09,False,False,0.3641244900753303,0.4037856762208436,4070,4,False,1250.0,non-depleting
INTS10,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,False,0.0367746109060519,0.0,0.686,0.99844,True,False,0.1785538226985515,0.2357779517309187,4213,5,False,50.3,non-depleting
CASK,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,True,0.0,,,,,False,0.1460641502289742,0.2149051043972304,4319,3,False,30.2,depleting-at-rest
PNPT1,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,True,0.0,,0.641,0.99984,True,False,0.5311519232023107,0.5915989215680119,4351,5,False,10.8,depleting-at-rest
GRSF1,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,True,False,0.0,,1.473,0.37063,False,False,0.0780312371453275,0.1600579314106565,4446,4,False,242.1,non-depleting
PDPK1,GATE_ONLY,,CONCORDANT,approved LoF-mimicking drug (OT actionType),False,False,False,True,0.0,,0.333,0.0003019,False,False,0.4499669365739371,0.5397537934932745,4617,4,False,25.5,depleting-at-rest
TIMP1,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,True,0.0,,,,,False,0.4647286893989606,0.5918836062717818,4949,4,False,2942.8,depleting-at-rest
ILKAP,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,False,0.0,,0.38,0.00013788,False,False,0.2763209809548116,0.4104195176144478,4959,3,False,41.2,depleting-at-rest
GNE,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,True,0.0,,0.822,0.99593,True,False,0.225180496892076,0.3727567350863905,5037,3,False,84.6,non-depleting
TAF6L,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,False,0.0,,0.8,0.99794,True,False,0.2125023882990828,0.3781790593505433,5183,10,False,21.7,non-depleting
DHX9,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,True,0.0,,0.264,3.0291e-16,False,False,0.3851794962206437,0.5783505507943967,5386,3,False,64.2,depleting-at-rest
PITRM1,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,True,False,0.0,,0.998,0.88496,False,False,0.3573803557738189,0.5569472977169823,5414,5,False,68.3,depleting-at-rest
MBTPS1,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,True,0.0,,0.852,0.99873,True,False,0.332432008849158,0.5698988533927839,5617,3,False,100.6,depleting-at-rest
LETM2,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,True,True,0.0,,1.247,0.51993,False,False,-0.1024320509376101,0.1822840339751088,5761,3,False,22.2,non-depleting
ARHGAP30,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,False,0.0,,0.43,0.00013126,False,False,0.0068009791464165,0.3622688713735966,6013,3,False,23.7,non-depleting
SKIC8,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,True,0.0,,,,,False,0.0810488517719044,0.4891656125777845,6128,5,False,109.8,depleting-at-rest
PAXIP1,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,False,0.0,,0.276,1.9589e-08,False,False,0.1621056752528822,0.5826379841426368,6151,3,False,21.4,non-depleting
ICAM2,SHORTLIST,1.0,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,True,True,True,0.282843653978389,4.0,1.167,0.86143,False,False,0.7050323070551248,0.0847477074193408,44,4,False,96.5,depleting-at-rest
IMPDH2,VALIDATION,,CONCORDANT,approved LoF-mimicking drug (OT actionType),True,False,False,True,0.0,,0.767,0.99883,True,False,0.598310501455209,-0.0784304812919897,51,6,False,296.5,depleting-at-rest
CD2,VALIDATION,,CONCORDANT,approved LoF-mimicking drug (OT actionType),True,True,True,True,0.6800389834936047,3.0,1.144,0.8761,False,True,0.6796842727882662,0.1158172885829976,65,14,False,26.8,non-depleting
CD3E,VALIDATION,,CONCORDANT,approved LoF-mimicking drug (OT actionType),True,False,True,True,0.0,,0.66,0.53044,False,True,0.9807052173411483,0.5682072323921394,266,7,True,37.0,depleting-at-rest
CD28,VALIDATION,,CONCORDANT,LoF causes immunodeficiency (IUIS); positive-regulator direction,True,True,True,True,0.7200950933942434,12.0,0.634,0.21855,False,True,0.6538688214874406,0.3538737358496522,640,9,True,13.9,non-depleting
PPP3R1,VALIDATION,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",True,False,True,True,0.0,,0.678,0.28323,False,False,0.254858865854718,0.0259154368488018,1011,3,False,175.8,non-depleting
IL4R,VALIDATION,,CONCORDANT,approved LoF-mimicking drug (OT actionType),True,True,True,True,0.922852314144292,2.0,0.604,0.50216,False,False,-0.0858953112680229,0.5330112172642605,6310,6,False,114.2,non-depleting
BATF,WIDER,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,True,True,False,0.57567866228703,4.0,0.739,0.42763,False,False,0.8765283531057809,-0.4385618676524329,7,14,False,17.0,depleting-at-rest
RTRAF,WIDER,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,True,True,False,0.5103230123590625,1.0,0.645,0.29021,False,False,0.8222420012104527,-0.0610756589594364,9,4,False,149.7,depleting-at-rest
TBX21,WIDER,,CONCORDANT,LoF causes immunodeficiency (IUIS); positive-regulator direction,False,True,False,False,0.6228324218591725,5.0,0.381,6.4763e-05,False,False,0.7616470310915339,-0.3940546648810954,11,8,True,3.1,non-depleting
BHLHE40,WIDER,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,True,False,False,0.6880738297889575,2.0,0.219,1.6599e-06,False,False,0.895752420263014,0.1381871189629986,17,13,False,372.4,non-depleting
SIK3,WIDER,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,True,False,True,0.3409022846487999,3.0,0.269,1.7797e-16,False,False,0.9539645577491996,0.2087373792955458,23,15,False,23.9,non-depleting
MEN1,WIDER,,CONCORDANT,approved LoF-mimicking drug (OT actionType),False,True,False,True,0.3368520893497467,1.0,0.206,1.5823e-10,False,False,0.7869262155125736,0.0473892002899302,24,9,False,22.2,depleting-at-rest
STAT3,WIDER,,CONCORDANT,approved LoF-mimicking drug (OT actionType),False,True,False,True,0.7757925671777649,8.0,0.11,1.0410999999999999e-22,False,False,0.6414788489642478,0.0093014912182371,38,12,True,130.1,depleting-at-rest
UFM1,WIDER,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,True,True,False,0.1020107567411185,1.0,0.85,0.35704,False,False,0.6961030545762852,0.2119838160228555,133,8,False,61.2,non-depleting
USP24,WIDER,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,True,False,False,0.3458807395917997,1.0,0.361,2.1594e-16,False,False,0.4865597899424461,0.022439328429241,147,3,False,43.5,non-depleting
METTL1,WIDER,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,True,False,False,0.1208735564166393,1.0,0.787,0.97978,True,False,0.4612758650109829,-0.6088990760131768,151,7,False,27.3,non-depleting
WAPL,WIDER,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,True,False,False,0.4165393111276245,1.0,0.083,3.0370999999999996e-22,False,False,0.7686997868464509,0.3038518331640141,161,3,False,33.3,depleting-at-rest
SMAD4,WIDER,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,True,False,True,0.3748776680850805,1.0,0.227,8.4418e-08,False,False,0.6021149997041504,0.1748045832610419,198,3,False,18.4,non-depleting
BRPF1,WIDER,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,True,False,True,0.1898452316899406,1.0,0.206,8.9841e-17,False,False,0.5505553008264444,0.1418364229485021,238,5,False,9.6,non-depleting
MALT1,WIDER,,CONCORDANT,approved LoF-mimicking drug (OT actionType),False,True,False,True,0.5557747588892444,1.0,0.581,0.36491,False,False,0.6177352147612112,0.208858112973708,244,10,True,7.6,depleting-at-rest
BRD1,WIDER,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,True,False,True,0.2399149086037292,1.0,0.338,2.5978e-09,False,False,0.739977236245412,0.3303029161997297,254,4,False,27.6,depleting-at-rest
HDAC7,WIDER,,CONCORDANT,approved LoF-mimicking drug (OT actionType),False,True,False,True,0.7433455696392026,6.0,0.344,4.2086e-09,False,False,0.5287483246884581,0.155190187855127,322,3,False,47.1,non-depleting
PDSS1,WIDER,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,True,True,False,0.260541515360058,1.0,1.164,0.83203,False,False,0.3984892586713309,0.0435796534375867,380,3,False,18.0,non-depleting
TNPO1,WIDER,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,True,False,True,0.4844792008072639,2.0,0.152,9.6444e-13,False,False,0.3721476839584098,0.0229086067436668,394,4,False,74.5,non-depleting
MTRR,WIDER,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,True,False,False,0.2189008970249991,1.0,0.933,0.97966,True,False,0.3036552287615858,-0.1593202454257372,569,3,False,30.7,non-depleting
SEL1L,WIDER,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,True,False,True,0.3458807395917997,1.0,0.542,0.86093,False,False,0.9314896336307849,0.6238023868650155,642,5,False,380.4,depleting-at-rest
DR1,WIDER,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,True,True,False,0.3026032940728855,1.0,0.65,0.3046,False,False,0.5089392155231511,0.2786277306965693,1052,4,False,52.1,non-depleting
COMMD7,WIDER,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,True,True,False,0.1343905001643668,4.0,1.148,0.80259,False,False,0.6042613395686158,0.3781030845196993,1112,5,False,62.3,non-depleting
MED13,WIDER,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,True,False,False,0.5472390539660802,2.0,0.131,1.0311e-33,False,False,0.7387811386737236,0.5208005506509399,1213,9,False,26.2,non-depleting
FOSL2,WIDER,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,True,False,False,0.7486099105998748,6.0,0.28,0.00030643,False,False,0.2017358759859883,-0.0943938000467507,1223,3,False,160.1,non-depleting
SGF29,WIDER,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,True,False,True,0.2487387988438416,4.0,0.582,0.32938,False,False,0.6348662173644377,0.4253038059159448,1267,16,False,48.6,non-depleting
LIG3,WIDER,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,True,False,True,0.1151693162437684,1.0,0.627,1.0,True,False,0.3765774568032503,0.2274007562923319,1813,6,False,19.7,non-depleting
DDX39B,WIDER,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,True,False,False,0.2076867336007092,1.0,0.219,3.7305e-08,False,False,0.4504578083052126,0.3023484075961901,1853,4,False,177.4,depleting-at-rest
COG6,WIDER,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,True,False,True,0.6546775918977833,5.0,1.058,0.90875,True,False,0.136128017242577,-0.3445017318062814,1884,4,False,17.9,depleting-at-rest
ZNF644,WIDER,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,True,False,False,0.2235476338411937,1.0,0.224,2.0297e-15,False,False,0.1225436114239896,-0.604219413109246,2030,3,False,18.5,non-depleting
PTEN,WIDER,,CONCORDANT,LoF causes immunodeficiency (IUIS); positive-regulator direction,False,True,False,True,0.3428301945795701,2.0,0.686,0.95031,True,False,0.2823299860282686,0.1611783932278242,2099,3,True,51.4,non-depleting
PTPRC,WIDER,,CONCORDANT,approved LoF-mimicking drug (OT actionType),False,True,False,True,0.8257694520405896,7.0,0.343,1.2399e-11,False,True,0.1133854066204864,-0.1037456430653956,2136,4,True,51.5,non-depleting
ARPC2,WIDER,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,True,False,True,0.3797538774146153,1.0,0.319,0.0001653,False,False,0.5523052994695908,0.4596171949036611,2553,6,False,474.1,depleting-at-rest
AEBP2,WIDER,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,True,False,False,0.2932639141542026,1.0,0.461,0.01324,False,False,0.7064775081567066,0.6189974788714186,2666,5,False,41.3,non-depleting
SMG7,WIDER,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,True,False,False,0.4117676988491632,1.0,0.372,1.4622e-08,False,False,0.642856558177969,0.5605545802097395,2720,5,False,54.7,depleting-at-rest
TBL1XR1,WIDER,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,True,False,False,0.8215243810056689,2.0,0.174,1.0627e-09,False,False,0.4888002006351031,0.4415946773086723,3082,6,False,40.4,non-depleting
PPP2R2A,WIDER,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,True,False,False,0.4140901661120414,2.0,0.364,0.00015893,False,False,0.6682924044198757,0.6161384478659864,3084,3,False,37.6,non-depleting
EGR2,WIDER,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,True,False,False,0.6267582177882558,10.0,0.402,0.0031007,False,False,-0.0235227318301182,-0.0903798006360291,3738,4,False,114.5,non-depleting
STAT5A,WIDER,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,True,False,True,0.1220142227114484,2.0,0.365,5.0856e-08,False,False,0.3460539400077921,0.3848466767444609,4058,3,False,74.1,non-depleting
TPST2,WIDER,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,True,False,True,0.3888460867206413,1.0,0.958,0.96068,True,False,0.5367499964652611,0.5998618377648685,4382,4,False,378.0,depleting-at-rest
CCNC,WIDER,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,True,True,False,0.1255725876038873,1.0,0.738,0.24343,False,False,0.3304288532855233,0.5309962218777625,5416,13,False,69.7,non-depleting
CEP43,WIDER,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,True,True,False,0.6608165979654756,5.0,1.164,0.88559,False,False,0.2968520797499555,0.5460622452190811,5667,5,False,43.6,depleting-at-rest
CASC3,WIDER,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,True,False,False,0.1538848353261321,1.0,0.467,0.0025292,False,False,0.3543534478786255,0.6104084713068935,5696,3,False,66.6,non-depleting
STAT6,WIDER,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,True,False,True,0.7433566017524011,2.0,0.516,0.45021,False,False,-0.0358337538398091,0.2399610332380236,5734,5,False,102.2,non-depleting
FOXO1,WIDER,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,True,False,False,0.5070759194871427,7.0,0.348,0.00013447,False,False,-0.0627091659133171,0.2258080825267902,5781,3,False,84.4,non-depleting
